displayname,twitchurl,viewminutes,streamedminutes,maxviewers,avgviewers,milestonefollowers,rownum,followers,followersgained,viewsgained,followersgainedwhileplaying,partner,affiliate,mature,language,languageId,status,previousviewminutes,previousstreamedminutes,previousmaxviewers,previousavgviewers,previousfollowergain,previousviewsgained,gamesPlayed,id,url,baseOnly
ごっちゃんマイキー (gocchanmikey),https://www.twitch.tv/gocchanmikey,16054905,2370,19919,6774,,129,198223,986,0,0,True,False,False,Japanese,0,Partner,10920675,2100,15539,5200,414,0,,52611363,gocchanmikey,False
sinatraa,https://www.twitch.tv/sinatraa,15997770,3255,10494,4914,,130,2033231,183,0,0,True,False,False,English,0,Partner,25729170,3990,10658,6448,3157,0,,8226992,sinatraa,False
LuquEt4,https://www.twitch.tv/luquet4,15720495,1035,40348,15188,,131,1962354,3179,0,0,True,False,False,Portuguese,0,Partner,9556845,810,22259,11798,2660,0,,19094634,luquet4,False
Bonjwa,https://www.twitch.tv/bonjwa,15677880,2775,10955,5649,,132,247720,308,0,0,True,False,False,German,0,Partner,15665670,3165,10320,4949,158,0,,199452,bonjwa,False
Zentreya,https://www.twitch.tv/zentreya,15534465,2850,7508,5450,,133,562839,1279,0,0,True,False,False,English,0,Partner,14629455,2655,11025,5510,1411,0,,6688679,zentreya,False
柊ツルギ (hiiragitsurugi),https://www.twitch.tv/hiiragitsurugi,15507930,2745,11780,5649,,134,334306,1588,0,0,True,False,False,Japanese,0,Partner,8179305,2025,12172,4039,1439,0,,63294912,hiiragitsurugi,False
ImperialHal__,https://www.twitch.tv/imperialhal__,15499560,2580,9656,6007,,135,2053589,121,0,0,True,False,False,English,0,Partner,13774665,2355,9114,5849,136,0,,11938220,imperialhal__,False
Maximilian_DOOD,https://www.twitch.tv/maximilian_dood,15457860,2145,15238,7206,,136,1327168,788,0,0,True,False,False,English,0,Partner,14510745,2535,13391,5724,558,0,,224416,maximilian_dood,False
ギルくん (guilty1223),https://www.twitch.tv/guilty1223,15423720,2535,11461,6084,,137,202334,503,0,0,True,False,False,Japanese,0,Partner,17481420,2805,12897,6232,489,0,,14867623,guilty1223,False
JonVlogs,https://www.twitch.tv/jonvlogs,15063870,1080,36545,13948,,138,2218551,1296,0,0,True,False,False,Portuguese,0,Partner,3829065,465,13859,8234,1392,0,,1901805,jonvlogs,False
skill4ltu,https://www.twitch.tv/skill4ltu,14995710,3720,7335,4031,,139,363196,547,0,0,True,False,True,English,0,Partner,17420730,4125,6961,4223,810,0,,3601057,skill4ltu,False
Aspen,https://www.twitch.tv/aspen,14980755,3120,7967,4801,,140,516580,3251,0,0,True,False,False,English,0,Partner,9847440,1530,11908,6436,2371,0,,9698188,aspen,False
羅傑 (roger9527),https://www.twitch.tv/roger9527,14923770,3255,8048,4584,,141,218787,283,0,0,True,False,False,Chinese,0,Partner,11812560,2535,7907,4659,250,0,,5792,roger9527,False
VALORANT_EMEA,https://www.twitch.tv/valorant_emea,14786490,1170,22232,12638,,142,664408,4464,0,0,True,False,False,English,0,Partner,4730250,1425,6832,3319,876,0,,33213385,valorant_emea,False
JesusAVGN,https://www.twitch.tv/jesusavgn,14601525,1530,16247,9543,,143,1830582,-194,0,0,True,False,False,Russian,0,Partner,16877925,1815,19696,9299,448,0,,10799,jesusavgn,False
anarabdullaev,https://www.twitch.tv/anarabdullaev,14522940,1830,14674,7936,,144,163012,12488,0,0,False,False,False,Russian,0,Community,5495355,795,10181,6912,2917,0,,60851892,anarabdullaev,False
xTheSolutionTV,https://www.twitch.tv/xthesolutiontv,14354340,3810,5394,3767,,145,753507,137,0,0,True,False,False,German,0,Partner,14788245,4665,6039,3170,363,0,,439227,xthesolutiontv,False
Emiru,https://www.twitch.tv/emiru,14345595,795,30027,18044,,146,1736915,2209,0,0,True,False,False,English,0,Partner,21952665,1215,35414,18068,2062,0,,1435137,emiru,False
ElMariana,https://www.twitch.tv/elmariana,14308200,930,23027,15385,,147,10343676,7876,0,0,True,False,False,Spanish,0,Partner,11381190,810,21411,14050,6497,0,,27069018,elmariana,False
MichiMochievee,https://www.twitch.tv/michimochievee,14238705,3015,8456,4722,,148,179387,2241,0,0,True,False,False,English,0,Partner,22848075,4515,8314,5060,3689,0,,69434692,michimochievee,False
BarbarousKing,https://www.twitch.tv/barbarousking,14194695,4170,8220,3404,,149,225910,146,0,0,True,False,True,English,0,Partner,16712445,4650,6220,3594,212,0,,7921756,barbarousking,False
Xaryu,https://www.twitch.tv/xaryu,14078805,1860,19747,7569,,150,707241,1896,0,0,True,False,False,English,0,Partner,14574915,2895,10308,5034,872,0,,37450,xaryu,False
ZeratoR,https://www.twitch.tv/zerator,13969230,945,33269,14782,,151,1596695,157,0,0,True,False,False,French,0,Partner,11824125,870,22786,13590,355,0,,131359,zerator,False
Emongg,https://www.twitch.tv/emongg,13958370,3195,9302,4368,,152,1085995,1282,0,0,True,False,False,English,0,Partner,38267820,3660,26438,10455,3725,0,,39045,emongg,False
cs2_maincast,https://www.twitch.tv/cs2_maincast,13823760,2895,15376,4775,,153,221647,2642,0,0,True,False,False,Ukrainian,0,Partner,13770090,3135,15304,4392,3138,0,,48188906,cs2_maincast,False
VALORANT_jpn,https://www.twitch.tv/valorant_jpn,13808760,2715,10432,5086,,154,592424,961,0,0,True,False,False,Japanese,0,Partner,9377355,1710,14257,5483,854,0,,30055624,valorant_jpn,False
蝦愛橘子 (shuteye_orange),https://www.twitch.tv/shuteye_orange,13799100,10080,2716,1368,,155,179959,-11,0,0,True,False,True,Chinese,0,Partner,14868120,10080,3699,1475,116,0,,9890865,shuteye_orange,False
Agent00,https://www.twitch.tv/agent00,13764360,1845,13205,7460,,156,2269649,5222,0,0,True,False,False,English,0,Partner,12377175,1290,23261,9594,-31729,0,,120045,agent00,False
mago2dgod,https://www.twitch.tv/mago2dgod,13761315,3840,8426,3583,,157,170081,1778,0,0,True,False,False,Japanese,0,Partner,3272790,1440,4558,2272,199,0,,48808519,mago2dgod,False
sasatikk,https://www.twitch.tv/sasatikk,13703895,2415,8935,5674,,158,392622,810,0,0,True,False,False,Japanese,0,Partner,12372330,1635,14055,7567,821,0,,8808457,sasatikk,False
yourragegaming,https://www.twitch.tv/yourragegaming,13698750,750,25116,18265,,159,1629351,845,0,0,True,False,False,English,0,Partner,51904125,2490,33366,20845,6616,0,,20828103,yourragegaming,False
kingsleague,https://www.twitch.tv/kingsleague,13628910,840,36360,16224,,160,3284546,1600,0,0,True,False,False,Spanish,0,Partner,10756470,840,22985,12805,794,0,,5504732,kingsleague,False
PietSmiet,https://www.twitch.tv/pietsmiet,13622910,2640,11195,5160,,161,830405,1817,0,0,True,False,True,German,0,Partner,13651485,2805,13889,4866,2567,0,,88204,pietsmiet,False
b0rja,https://www.twitch.tv/b0rja,13621710,8790,14366,1549,,162,130749,3918,0,0,True,False,False,Spanish,0,Partner,12313920,10080,8199,1221,4985,0,,13111283,b0rja,False
TimTheTatman,https://www.twitch.tv/timthetatman,13380840,1080,17356,12389,,163,7217180,3137,0,0,True,False,True,English,0,Partner,11396235,915,16800,12454,2446,0,,61581,timthetatman,False
GUACAMOLEMOLLY,https://www.twitch.tv/guacamolemolly,13346505,1560,14310,8555,,164,524695,1006,0,0,True,False,True,Russian,0,Partner,12368220,1695,9630,7296,582,0,,12452512,guacamolemolly,False
VALORANT_Americas,https://www.twitch.tv/valorant_americas,13268595,1065,19978,12458,,165,850000,3055,0,0,True,False,False,English,0,Partner,5950485,660,14138,9015,1785,0,,33476009,valorant_americas,False
39daph,https://www.twitch.tv/39daph,13239150,3285,7112,4030,,166,1216585,383,0,0,True,False,False,English,0,Partner,14075550,3150,9076,4468,641,0,,10925453,39daph,False
Stray228,https://www.twitch.tv/stray228,13163430,1875,9466,7020,,167,1704189,1053,0,0,True,False,False,Russian,0,Partner,13744650,2070,9825,6639,983,0,,66516,stray228,False
Sliggytv,https://www.twitch.tv/sliggytv,13085775,3180,8140,4115,,168,171724,757,0,0,True,False,False,English,0,Partner,3919395,1290,6484,3038,311,0,,3071752,sliggytv,False
ボドカさん (vodkavdk),https://www.twitch.tv/vodkavdk,13051995,2805,17243,4653,,169,616059,2307,0,0,True,False,False,Japanese,0,Partner,11181495,2190,25309,5105,2234,0,,587026,vodkavdk,False
SolaryHS,https://www.twitch.tv/solaryhs,12821460,10080,2979,1271,,170,208231,173,0,0,True,False,False,French,0,Partner,12834720,10080,3059,1273,173,0,,21823138,solaryhs,False
tenderlybae,https://www.twitch.tv/tenderlybae,12782115,510,46503,25062,,171,1547207,24475,0,0,True,False,False,Russian,0,Partner,1770810,120,25831,14756,3494,0,,17744285,tenderlybae,False
shuto_fgc,https://www.twitch.tv/shuto_fgc,12556230,3765,12131,3334,,172,95990,3542,0,0,True,False,False,Japanese,0,Partner,2220495,1710,2501,1298,600,0,,50011020,shuto_fgc,False
supertf,https://www.twitch.tv/supertf,12551835,2145,9117,5851,,173,702042,472,0,0,True,False,False,English,0,Partner,18083070,2970,11155,6088,980,0,,7809471,supertf,False
AgustinUnaplay8,https://www.twitch.tv/agustinunaplay8,12476835,2235,9534,5582,,174,316467,1078,0,0,True,False,False,Spanish,0,Partner,10800780,1860,8904,5806,1285,0,,9117085,agustinunaplay8,False
betboom_ru2,https://www.twitch.tv/betboom_ru2,12392445,2310,21930,5364,,175,173461,2414,0,0,True,False,False,Russian,0,Partner,3607350,810,14364,4453,1329,0,,8208351,betboom_ru2,False
綠茶 (greentea),https://www.twitch.tv/greentea,12350640,4275,5951,2889,,176,162809,539,0,0,True,False,False,Chinese,0,Partner,15466800,4620,6483,3347,765,0,,645349,greentea,False
AntoineDaniel,https://www.twitch.tv/antoinedaniel,12301260,870,22023,14139,,177,1060897,272,0,0,True,False,True,French,0,Partner,9183015,900,19108,10203,241,0,,8369226,antoinedaniel,False
しんじさん (shinjifromjapanxd),https://www.twitch.tv/shinjifromjapanxd,12224085,4050,4644,3018,,178,215294,767,0,0,True,False,False,Japanese,0,Partner,7776750,2625,5680,2962,620,0,,19596269,shinjifromjapanxd,False
juansguarnizo,https://www.twitch.tv/juansguarnizo,12209595,1710,15203,7140,,179,11507707,474,0,0,True,False,False,Spanish,0,Partner,12425385,1860,13945,6680,2729,0,,8543782,juansguarnizo,False
Repaz,https://www.twitch.tv/repaz,12209130,4515,15215,2704,,180,723853,894,0,0,True,False,True,German,0,Partner,12182625,4860,16869,2506,933,0,,7788672,repaz,False
NEEXcsgo,https://www.twitch.tv/neexcsgo,12198120,4035,7332,3023,,181,406822,1205,0,0,True,False,False,Polish,0,Partner,11689995,4365,8758,2678,799,0,,8573509,neexcsgo,False
WELOVEGAMES,https://www.twitch.tv/welovegames,12195345,2955,6619,4127,,182,519258,974,0,0,True,False,False,Russian,0,Partner,9821700,2400,7757,4092,805,0,,95818,welovegames,False
Nikof,https://www.twitch.tv/nikof,12112500,1155,15824,10487,,183,715404,1226,0,0,True,False,False,French,0,Partner,13620285,1170,17971,11641,1553,0,,15162515,nikof,False
Zoomaa,https://www.twitch.tv/zoomaa,12094905,2190,10939,5522,,184,407995,956,0,0,True,False,False,English,0,Partner,8136075,1635,12195,4976,742,0,,3306619,zoomaa,False
ExtraEmily,https://www.twitch.tv/extraemily,12065010,1230,15692,9808,,185,467013,569,0,0,True,False,False,English,0,Partner,9099345,870,19671,10459,389,0,,28850825,extraemily,False
SilverName,https://www.twitch.tv/silvername,12028785,2250,8743,5346,,186,880070,1437,0,0,True,False,False,Russian,0,Partner,8938050,1710,13128,5226,2250,0,,187383,silvername,False
rezonfn,https://www.twitch.tv/rezonfn,11984685,2250,8998,5326,,187,1218649,-1828,0,0,True,False,False,German,0,Partner,11960115,2415,8727,4952,9960,0,,22066469,rezonfn,False
FerretSoftware,https://www.twitch.tv/ferretsoftware,11952420,10080,4268,1185,,188,173077,-23,0,0,True,False,False,English,0,Partner,12154500,10080,6083,1205,705,0,,58175111,ferretsoftware,False
capr1isun,https://www.twitch.tv/capr1isun,11945430,855,30243,13971,,189,187403,51084,0,0,False,False,False,English,0,Community,7933605,630,22840,12593,83236,0,,73066569,capr1isun,False
PUBG_BATTLEGROUNDS,https://www.twitch.tv/pubg_battlegrounds,11791350,4065,6155,2900,,190,1161404,2645,0,0,True,False,False,English,0,Partner,7008420,2055,8631,3410,3917,0,,8324036,pubg_battlegrounds,False
ハイタニ (haitani0904),https://www.twitch.tv/haitani0904,11759745,3630,9088,3239,,191,146910,813,0,0,True,False,False,Japanese,0,Partner,6701625,2460,7789,2724,255,0,,14740597,haitani0904,False
pokelawls,https://www.twitch.tv/pokelawls,11736735,4035,8025,2908,,192,1060473,20,0,0,True,False,True,English,0,Partner,5105610,2445,3782,2088,-542,0,,26655,pokelawls,False
Real_Bazzi,https://www.twitch.tv/real_bazzi,11717475,8415,3672,1392,,193,278606,1140,0,0,True,False,True,German,0,Partner,11479770,8460,3376,1356,2225,0,,23327524,real_bazzi,False
DjMaRiiO,https://www.twitch.tv/djmariio,11689815,1110,32622,10531,,194,1843530,2579,0,0,True,False,False,Spanish,0,Partner,9640380,930,30406,10366,4202,0,,529379,djmariio,False
赤見かるび (akamikarubi),https://www.twitch.tv/akamikarubi,11642985,3165,9384,3678,,195,580999,1191,0,0,True,False,False,Japanese,0,Partner,4198695,945,7937,4443,558,0,,33090276,akamikarubi,False
YoDa,https://www.twitch.tv/yoda,11578980,2760,7852,4195,,196,2458961,-140,0,0,True,False,False,Portuguese,0,Partner,7607115,1980,6349,3841,181,0,,10842,yoda,False
西南69 (kr1stw),https://www.twitch.tv/kr1stw,11568900,3990,5853,2899,,197,79019,74,0,0,True,False,True,Chinese,0,Partner,9704895,2535,5668,3828,80,0,,11822911,kr1stw,False
RUGAAL,https://www.twitch.tv/rugaal,11543265,10065,1734,1146,,198,44733,2833,0,0,False,False,False,English,0,Community,8768880,10080,1643,869,2139,0,,72365554,rugaal,False
AuzioMF,https://www.twitch.tv/auziomf,11485875,2295,14053,5004,,199,546599,2796,0,0,True,False,False,English,0,Partner,14352975,2595,15059,5531,4280,0,,1245149,auziomf,False
leva2k,https://www.twitch.tv/leva2k,11461125,3105,6290,3691,,200,182137,1904,0,0,True,False,False,Russian,0,Partner,5300670,1545,7315,3430,546,0,,42823621,leva2k,False
