displayname,twitchurl,viewminutes,streamedminutes,maxviewers,avgviewers,milestonefollowers,rownum,followers,followersgained,viewsgained,followersgainedwhileplaying,partner,affiliate,mature,language,languageId,status,previousviewminutes,previousstreamedminutes,previousmaxviewers,previousavgviewers,previousfollowergain,previousviewsgained,gamesPlayed,id,url,baseOnly
stylishnoob4,https://www.twitch.tv/stylishnoob4,38442000,3105,18592,12380,,28,1108252,2599,0,0,True,False,False,Japanese,0,Partner,41755665,3315,22383,12595,673,0,,58643,stylishnoob4,False
plaqueboymax,https://www.twitch.tv/plaqueboymax,38050815,1245,75066,30562,,29,1803438,14901,0,0,True,False,False,English,0,Partner,71459160,2355,65611,30343,10418,0,,38773224,plaqueboymax,False
Elajjaz,https://www.twitch.tv/elajjaz,37795455,3615,16480,10455,,30,515240,1001,0,0,True,False,False,English,0,Partner,37557285,3060,16014,12273,661,0,,4979,elajjaz,False
funnymike,https://www.twitch.tv/funnymike,37301700,7035,12695,5302,,31,225789,39953,0,0,True,False,False,English,0,Partner,29693190,7350,7511,4039,56246,0,,11251220,funnymike,False
Fanum,https://www.twitch.tv/fanum,35931840,2940,16921,12221,,32,2990988,11073,0,0,True,False,False,English,0,Partner,26269560,1905,20424,13789,9059,0,,8432753,fanum,False
mokrivskyi,https://www.twitch.tv/mokrivskyi,35097660,1485,49511,23634,,33,981526,8048,0,0,False,False,False,Russian,0,Community,23524245,1155,53478,20367,5098,0,,11035668,mokrivskyi,False
mira,https://www.twitch.tv/mira,33171780,10080,3882,3290,,34,740921,193,0,0,True,False,False,English,0,Partner,31350900,10080,4913,3110,882,0,,18501,mira,False
knekro,https://www.twitch.tv/knekro,33168345,2820,66888,11761,,35,1220405,677,0,0,True,False,False,Spanish,0,Partner,5295555,960,8694,5516,147,0,,11581099,knekro,False
KaiCenat,https://www.twitch.tv/kaicenat,33083100,375,196590,88221,,36,16771768,42176,0,0,True,False,False,English,0,Partner,51715605,615,147036,84090,48836,0,,36216355,kaicenat,False
Gaules,https://www.twitch.tv/gaules,32266605,9945,18623,3244,,37,4261341,-502,0,0,True,False,True,Portuguese,0,Partner,56848500,10080,52749,5639,1379,0,,13076616,gaules,False
xQc,https://www.twitch.tv/xqc,31940115,1350,37810,23659,,38,12041624,-600,0,0,True,False,False,English,0,Partner,35209830,1560,35969,22570,657,0,,78121,xqc,False
YoungMulti,https://www.twitch.tv/youngmulti,31440450,1935,38755,16248,,39,1321241,4170,0,0,True,False,False,Polish,0,Partner,11732925,1065,21576,11016,767,0,,35182181,youngmulti,False
Clix,https://www.twitch.tv/clix,31328385,2400,29755,13053,,40,8164926,13533,0,0,True,False,False,English,0,Partner,42869355,2580,80344,16616,31754,0,,16572872,clix,False
alanzoka,https://www.twitch.tv/alanzoka,31220340,2265,26112,13783,,41,7601555,5888,0,0,True,False,False,Portuguese,0,Partner,29736195,2280,21228,13042,7789,0,,241979,alanzoka,False
LIRIK,https://www.twitch.tv/lirik,30202770,2460,24594,12277,,42,2981337,-116,0,0,True,False,False,English,0,Partner,38813520,2400,25564,16172,173,0,,62277,lirik,False
AussieAntics,https://www.twitch.tv/aussieantics,30075150,5115,22043,5879,,43,1414389,8049,0,0,True,False,False,English,0,Partner,22660815,3435,24033,6597,4826,0,,15792962,aussieantics,False
JLTomy,https://www.twitch.tv/jltomy,29265330,2475,19207,11824,,44,1324801,697,0,0,True,False,False,French,0,Partner,13747980,1170,17595,11750,805,0,,11016752,jltomy,False
Squeezie,https://www.twitch.tv/squeezie,29170950,960,64032,30386,,45,5290295,7656,0,0,True,False,False,French,0,Partner,22090335,1170,33956,18880,4835,0,,5602855,squeezie,False
tarik,https://www.twitch.tv/tarik,28915425,1065,46939,27150,,46,3258496,-48,0,0,True,False,False,English,0,Partner,18447690,1080,37105,17081,1690,0,,178158,tarik,False
Adapt,https://www.twitch.tv/adapt,28856295,2760,19735,10455,,47,700635,18908,0,0,True,False,False,English,0,Partner,21437220,2055,29026,10431,14926,0,,14804367,adapt,False
はんじょう (hanjoudesu),https://www.twitch.tv/hanjoudesu,28757910,2895,26670,9933,,48,355599,1235,0,0,True,False,False,Japanese,0,Partner,35362080,3615,19137,9782,1650,0,,32814146,hanjoudesu,False
Quin69,https://www.twitch.tv/quin69,28715580,3060,21664,9384,,49,916327,730,0,0,True,False,False,English,0,Partner,23839200,2925,12915,8150,-947,0,,4913,quin69,False
ironmouse,https://www.twitch.tv/ironmouse,28642275,3525,13593,8125,,50,2278374,2115,0,0,True,False,True,English,0,Partner,13786815,1980,11118,6963,1565,0,,17636776,ironmouse,False
Rubius,https://www.twitch.tv/rubius,28381890,1275,29332,22260,,51,15655098,5162,0,0,True,False,False,Spanish,0,Partner,36301080,1545,62195,23495,9083,0,,1002201,rubius,False
PaulinhoLOKObr,https://www.twitch.tv/paulinholokobr,28310595,945,46354,29958,,52,3358667,4790,0,0,True,False,False,Portuguese,0,Partner,22800165,660,50023,34545,4796,0,,29129792,paulinholokobr,False
Dmitry_Lixxx,https://www.twitch.tv/dmitry_lixxx,28201935,1920,39939,14688,,53,1646968,13209,0,0,True,False,False,Russian,0,Partner,10467750,1110,33319,9430,2961,0,,13060408,dmitry_lixxx,False
Bijusan,https://www.twitch.tv/bijusan,27759255,3885,22271,7145,,54,74143,3095,0,0,True,False,False,Japanese,0,Partner,20677335,3240,20234,6381,3465,0,,11151788,bijusan,False
バトラ (batora324),https://www.twitch.tv/batora324,27704280,3330,12769,8319,,55,137430,1574,0,0,True,False,False,Japanese,0,Partner,17011485,2580,13424,6593,929,0,,5331342,batora324,False
Arteezy,https://www.twitch.tv/arteezy,27410985,3525,11829,7776,,56,831708,2840,0,0,True,False,True,English,0,Partner,27773895,3255,12039,8532,1464,0,,753328,arteezy,False
Gorgc,https://www.twitch.tv/gorgc,27408705,3270,15020,8381,,57,754777,574,0,0,True,False,False,English,0,Partner,21865920,2850,15053,7672,2200,0,,3691316,gorgc,False
Thebausffs,https://www.twitch.tv/thebausffs,26506560,1500,38555,17671,,58,1467753,5200,0,0,True,False,False,English,0,Partner,42147630,2460,36865,17133,8331,0,,12089485,thebausffs,False
QuickyBaby,https://www.twitch.tv/quickybaby,26503590,4215,14162,6287,,59,643938,355,0,0,True,False,False,English,0,Partner,24019110,3735,14679,6430,370,0,,99379,quickybaby,False
Locklear,https://www.twitch.tv/locklear,26148780,2760,19067,9474,,60,2329957,3788,0,0,True,False,False,French,0,Partner,22750620,2325,19474,9785,4388,0,,8110978,locklear,False
elxokas,https://www.twitch.tv/elxokas,25708530,2490,18153,10324,,61,4250362,1535,0,0,True,False,False,Spanish,0,Partner,24108600,2130,22800,11318,1905,0,,10692216,elxokas,False
