displayname,twitchurl,viewminutes,streamedminutes,maxviewers,avgviewers,milestonefollowers,rownum,followers,followersgained,viewsgained,followersgainedwhileplaying,partner,affiliate,mature,language,languageId,status,previousviewminutes,previousstreamedminutes,previousmaxviewers,previousavgviewers,previousfollowergain,previousviewsgained,gamesPlayed,id,url,baseOnly,email,discord,twitter,youtube
AuzioMF,https://www.twitch.tv/auziomf,12398925,2385,15059,5198,,176,546599,3295,0,0,True,False,False,English,0,Partner,13739640,2520,14804,5452,2118,0,,1245149,auziomf,False,,,,
ボドカさん (vodkavdk),https://www.twitch.tv/vodkavdk,12358875,2505,17243,4933,,177,616059,2191,0,0,True,False,False,Japanese,0,Partner,14819925,2700,25309,5488,3551,0,,587026,vodkavdk,False,,,,
柊ツルギ (hiiragitsurugi),https://www.twitch.tv/hiiragitsurugi,12341235,2760,10651,4471,,178,334191,1280,0,0,True,False,False,Japanese,0,Partner,7710315,1830,12172,4213,1468,0,,63294912,hiiragitsurugi,False,,,,
rezonfn,https://www.twitch.tv/rezonfn,12319740,2385,8998,5165,,179,1218649,-726,0,0,True,False,False,German,0,Partner,11982825,2385,8727,5024,8729,0,,22066469,rezonfn,False,,,,
AntoineDaniel,https://www.twitch.tv/antoinedaniel,12301260,870,22023,14139,,180,1060897,272,0,0,True,False,True,French,0,Partner,9183015,900,19108,10203,241,0,,8369226,antoinedaniel,False,,,,
SilverName,https://www.twitch.tv/silvername,12237690,2205,9167,5549,,181,880070,2556,0,0,True,False,False,Russian,0,Partner,7567785,1710,13128,4425,313,0,,187383,silvername,False,,,,
supertf,https://www.twitch.tv/supertf,12215355,2070,9117,5901,,182,702042,445,0,0,True,False,False,English,0,Partner,17791350,3000,11155,5930,1051,0,,7809471,supertf,False,,,,
Agustabell212,https://www.twitch.tv/agustabell212,12186750,3960,5530,3077,,183,278142,153,0,0,True,False,False,Spanish,0,Partner,4564200,2160,3477,2113,38,0,,4458679,agustabell212,False,,,,
PUBG_BATTLEGROUNDS,https://www.twitch.tv/pubg_battlegrounds,12180705,4050,8631,3007,,184,1161220,5042,0,0,True,False,False,English,0,Partner,5294715,1710,7004,3096,1161,0,,8324036,pubg_battlegrounds,False,,,,
RUGAAL,https://www.twitch.tv/rugaal,12150585,10065,1734,1207,,185,44733,2717,0,0,False,False,False,English,0,Community,8260230,10065,1508,820,2103,0,,72365554,rugaal,False,,,,
tenderlybae,https://www.twitch.tv/tenderlybae,12111840,390,46503,31056,,186,1547207,22209,0,0,True,False,False,Russian,0,Partner,2010660,225,25831,8936,7242,0,,17744285,tenderlybae,False,,,,
ハイタニ (haitani0904),https://www.twitch.tv/haitani0904,12081465,3705,9088,3260,,187,146880,789,0,0,True,False,False,Japanese,0,Partner,3761760,1905,5096,1974,115,0,,14740597,haitani0904,False,,,,
