displayname,twitchurl,viewminutes,streamedminutes,maxviewers,avgviewers,milestonefollowers,rownum,followers,followersgained,viewsgained,followersgainedwhileplaying,partner,affiliate,mature,language,languageId,status,previousviewminutes,previousstreamedminutes,previousmaxviewers,previousavgviewers,previousfollowergain,previousviewsgained,gamesPlayed,id,url,baseOnly,email,discord,twitter,youtube
Adapt,https://www.twitch.tv/adapt,23154015,2235,19735,10359,,72,700635,15414,0,0,True,False,False,English,0,Partner,24064785,2400,29026,10026,17007,0,,14804367,adapt,False,,,,
TenZ,https://www.twitch.tv/tenz,23086815,3060,18500,7544,,73,4329520,3210,0,0,True,False,False,English,0,Partner,14095245,2040,13345,6909,4774,0,,575517,tenz,False,,,,
ThePrimeagen,https://www.twitch.tv/theprimeagen,23057025,9255,5762,2491,,74,256349,4938,0,0,True,False,False,English,0,Partner,1681710,615,3737,2734,893,0,,14518379,theprimeagen,False,,,,
evelone2004,https://www.twitch.tv/evelone2004,22679340,420,74790,53998,,75,1487338,6792,0,0,False,False,False,Russian,0,Community,47363355,930,101440,50928,21956,0,,42575911,evelone2004,False,,,,
TheRealMarzaa,https://www.twitch.tv/therealmarzaa,22561200,2820,22374,8000,,76,1748507,2328,0,0,True,False,False,Italian,0,Partner,17871840,2355,33252,7588,2589,0,,2064409,therealmarzaa,False,,,,
sacy,https://www.twitch.tv/sacy,22257435,3210,26031,6933,,77,782947,2923,0,0,True,False,True,Portuguese,0,Partner,12561090,3195,13844,3931,1640,0,,4374416,sacy,False,,,,
たいじ_たいちゃんねる (yaritaiji),https://www.twitch.tv/yaritaiji,22101240,2820,14669,7837,,78,140242,2322,0,0,False,False,False,Japanese,0,Community,8359290,930,15740,8988,961,0,,38367028,yaritaiji,False,,,,
KaiCenat,https://www.twitch.tv/kaicenat,21776385,300,86632,72587,,79,16771768,16980,0,0,True,False,False,English,0,Partner,51715605,615,147036,84090,48836,0,,36216355,kaicenat,False,,,,
Jinnytty,https://www.twitch.tv/jinnytty,21723105,4380,8885,4959,,80,1077071,1077,0,0,True,False,False,English,0,Partner,15894720,3270,7801,4860,742,0,,10797151,jinnytty,False,,,,
loltyler1,https://www.twitch.tv/loltyler1,21683475,2415,14474,8978,,81,5446709,-583,0,0,True,False,False,English,0,Partner,17485800,2160,17357,8095,-335,0,,3828692,loltyler1,False,,,,
jasontheween,https://www.twitch.tv/jasontheween,21661935,1020,36033,21237,,82,1129081,16467,0,0,True,False,False,English,0,Partner,53742165,2340,49026,22966,38032,0,,11663408,jasontheween,False,,,,
叶ちゃんねる (kanae_2434),https://www.twitch.tv/kanae_2434,21334635,2895,35016,7369,,83,725069,2006,0,0,False,False,False,Japanese,0,Community,17030280,2385,24727,7140,1580,0,,16051775,kanae_2434,False,,,,
Leb1ga,https://www.twitch.tv/leb1ga,21242355,945,36814,22478,,84,524745,4285,0,0,True,False,False,Ukrainian,0,Partner,10454550,480,30795,21780,1508,0,,6189295,leb1ga,False,,,,
RDCgaming,https://www.twitch.tv/rdcgaming,21036390,1605,19275,13106,,85,844762,3833,0,0,True,False,False,English,0,Partner,9847080,840,17121,11722,1778,0,,3386786,rdcgaming,False,,,,
gabepeixe,https://www.twitch.tv/gabepeixe,20903250,3345,17198,6249,,86,1706193,1754,0,0,True,False,False,Portuguese,0,Partner,24995745,3660,53113,6829,7256,0,,8338655,gabepeixe,False,,,,
pathofexile,https://www.twitch.tv/pathofexile,20569470,225,147372,91419,,87,418892,24250,0,0,True,False,False,English,0,Partner,1413255,270,7031,5234,687,0,,24443539,pathofexile,False,,,,
Baiano,https://www.twitch.tv/baiano,20183280,10080,11972,2002,,88,1050434,2832,0,0,True,False,True,Portuguese,0,Partner,18504840,10080,16689,1835,481,0,,9072198,baiano,False,,,,
mooda,https://www.twitch.tv/mooda,20052765,3000,10666,6684,,89,362277,4960,0,0,True,False,False,English,0,Partner,11896545,1800,10002,6609,4227,0,,35462863,mooda,False,,,,
lol_nemesis,https://www.twitch.tv/lol_nemesis,20019465,2505,16331,7991,,90,815526,6224,0,0,True,False,False,English,0,Partner,20984790,3015,36978,6960,4986,0,,9998577,lol_nemesis,False,,,,
IlloJuan,https://www.twitch.tv/illojuan,19949565,720,42329,27707,,91,4299840,2414,0,0,True,False,False,Spanish,0,Partner,38576655,1575,48047,24493,4057,0,,910344,illojuan,False,,,,
angryginge13,https://www.twitch.tv/angryginge13,19763715,2340,14100,8446,,92,1229334,5659,0,0,True,False,False,English,0,Partner,15111000,1965,12602,7690,5864,0,,33184526,angryginge13,False,,,,
aminematue,https://www.twitch.tv/aminematue,19752705,165,167623,119713,,93,3226887,2487,0,0,True,False,False,English,0,Partner,37210590,1050,55459,35438,6835,0,,25899954,aminematue,False,,,,
YoungMulti,https://www.twitch.tv/youngmulti,19702860,1440,20230,13682,,94,1321241,2639,0,0,True,False,False,Polish,0,Partner,11732925,1065,21576,11016,767,0,,35182181,youngmulti,False,,,,
Maximilian_DOOD,https://www.twitch.tv/maximilian_dood,19414380,2565,15238,7568,,95,1327168,1036,0,0,True,False,False,English,0,Partner,13827765,2640,7941,5237,551,0,,224416,maximilian_dood,False,,,,
dangerlyoha,https://www.twitch.tv/dangerlyoha,19361625,1290,40355,15009,,96,1139379,15620,0,0,True,False,False,Russian,0,Partner,8515005,855,14679,9959,4612,0,,24594582,dangerlyoha,False,,,,
forsen,https://www.twitch.tv/forsen,19301460,2190,18681,8813,,97,1763996,924,0,0,True,False,True,English,0,Partner,35014035,2220,85620,15772,1104,0,,194103,forsen,False,,,,
IzakOOO,https://www.twitch.tv/izakooo,19246515,3405,18132,5652,,98,1980545,1541,0,0,True,False,False,Polish,0,Partner,12345870,3420,9702,3609,659,0,,136222,izakooo,False,,,,
PaulinhoLOKObr,https://www.twitch.tv/paulinholokobr,18802395,555,46354,33878,,99,3358667,3531,0,0,True,False,False,Portuguese,0,Partner,22800165,660,50023,34545,4796,0,,29129792,paulinholokobr,False,,,,
Kamet0,https://www.twitch.tv/kamet0,18780915,1185,40656,15848,,100,2018314,1358,0,0,True,False,False,French,0,Partner,90960000,2370,143295,38379,4027,0,,211156,kamet0,False,,,,
Grubby,https://www.twitch.tv/grubby,18680145,2835,11829,6589,,101,714042,718,0,0,True,False,False,English,0,Partner,34670070,2955,39606,11732,4311,0,,93250,grubby,False,,,,
Lord_Kebun,https://www.twitch.tv/lord_kebun,18490905,2085,12187,8868,,102,692613,101,0,0,True,False,False,English,0,Partner,23004660,2610,11597,8814,289,0,,11151618,lord_kebun,False,,,,
ギルくん (guilty1223),https://www.twitch.tv/guilty1223,18284340,2700,11461,6771,,103,202334,532,0,0,True,False,False,Japanese,0,Partner,14540160,2535,12897,5735,426,0,,14867623,guilty1223,False,,,,
Zentreya,https://www.twitch.tv/zentreya,17955705,3330,7508,5392,,104,562839,1485,0,0,True,False,False,English,0,Partner,15447795,2670,11025,5785,1602,0,,6688679,zentreya,False,,,,
BALLERLEAGUE,https://www.twitch.tv/ballerleague,17903730,390,62322,45907,,105,327092,2862,0,0,True,False,False,German,0,Partner,22387380,390,78511,57403,2980,0,,66728509,ballerleague,False,,,,
PirateSoftware,https://www.twitch.tv/piratesoftware,17828700,2445,11204,7291,,106,1210234,-232,0,0,True,False,False,English,0,Partner,23753160,3840,8596,6185,-370,0,,10034290,piratesoftware,False,,,,
HandOfBlood,https://www.twitch.tv/handofblood,17687565,1875,14410,9433,,107,1330328,2933,0,0,True,False,False,German,0,Partner,4666200,540,11468,8641,431,0,,882997,handofblood,False,,,,
Aspen,https://www.twitch.tv/aspen,17472510,3300,11908,5294,,108,516580,3714,0,0,True,False,False,English,0,Partner,6209655,1020,8545,6087,1421,0,,9698188,aspen,False,,,,
Tubbo,https://www.twitch.tv/tubbo,17466540,10080,6129,1732,,109,5251454,-352,0,0,True,False,False,English,0,Partner,19599840,10080,5486,1944,-226,0,,15655323,tubbo,False,,,,
Jerma985,https://www.twitch.tv/jerma985,17316930,1470,15806,11780,,110,1508493,1469,0,0,True,False,True,English,0,Partner,18621540,1725,15400,10795,1908,0,,797783,jerma985,False,,,,
Xaryu,https://www.twitch.tv/xaryu,17179575,2340,19747,7341,,111,707241,2235,0,0,True,False,False,English,0,Partner,11474145,2415,8566,4751,425,0,,37450,xaryu,False,,,,
robcdee,https://www.twitch.tv/robcdee,16977345,4800,10446,3536,,112,336634,360,0,0,True,False,False,English,0,Partner,12912525,4245,4437,3041,268,0,,11640821,robcdee,False,,,,
Necros,https://www.twitch.tv/necros,16966920,2445,11495,6939,,113,844742,4982,0,0,True,False,False,English,0,Partner,19087665,1830,18362,10430,7168,0,,9596323,necros,False,,,,
夢野あかり (akarindao),https://www.twitch.tv/akarindao,16947660,2685,25407,6311,,114,538270,2575,0,0,True,False,False,Japanese,0,Partner,5810070,2130,4657,2727,767,0,,32317285,akarindao,False,,,,
BarbarousKing,https://www.twitch.tv/barbarousking,16743645,4965,8220,3372,,115,225910,154,0,0,True,False,True,English,0,Partner,14163495,3855,6220,3674,192,0,,7921756,barbarousking,False,,,,
MarvelRivals,https://www.twitch.tv/marvelrivals,16716705,10005,12611,1670,,116,295055,6788,0,0,True,False,False,English,0,Partner,29356230,9945,14472,2951,15518,0,,69874173,marvelrivals,False,,,,
あっさりしょこー (assarisyoko1),https://www.twitch.tv/assarisyoko1,16706160,3060,9623,5459,,117,89320,2408,0,0,True,False,False,Japanese,0,Partner,12739185,1740,13252,7321,3948,0,,67513815,assarisyoko1,False,,,,
BastiGHG,https://www.twitch.tv/bastighg,16509180,2100,11857,7861,,118,2120360,4672,0,0,True,False,False,German,0,Partner,30014385,2160,42015,13895,8423,0,,790314,bastighg,False,,,,
ImperialHal__,https://www.twitch.tv/imperialhal__,16503990,2715,9656,6078,,119,2053589,2,0,0,True,False,False,English,0,Partner,14635365,2595,9114,5639,-27,0,,11938220,imperialhal__,False,,,,
TheBurntPeanut,https://www.twitch.tv/theburntpeanut,16371600,3015,7150,5430,,120,131851,5996,0,0,True,False,False,English,0,Partner,15307545,3090,7241,4953,5529,0,,25263641,theburntpeanut,False,,,,
羅傑 (roger9527),https://www.twitch.tv/roger9527,16023300,3420,8048,4685,,121,218787,342,0,0,True,False,False,Chinese,0,Partner,12774090,2535,8981,5039,325,0,,5792,roger9527,False,,,,
ごっちゃんマイキー (gocchanmikey),https://www.twitch.tv/gocchanmikey,16019010,2385,19919,6716,,122,198223,962,0,0,True,False,False,Japanese,0,Partner,12260010,2310,15539,5307,438,0,,52611363,gocchanmikey,False,,,,
betboom_ru2,https://www.twitch.tv/betboom_ru2,15999795,3120,21930,5128,,123,173461,3798,0,0,True,False,False,Russian,0,Partner,0,0,0,0,0,0,,8208351,betboom_ru2,False,,,,
sinatraa,https://www.twitch.tv/sinatraa,15886020,3075,10494,5166,,124,2033231,218,0,0,True,False,False,English,0,Partner,29361375,4155,12750,7066,3515,0,,8226992,sinatraa,False,,,,
Vspo_official,https://www.twitch.tv/vspo_official,15835440,975,37832,16241,,125,32430,19842,0,0,False,False,False,Japanese,0,Community,0,0,0,0,0,0,,77502243,vspo_official,False,,,,
LVNDMARK,https://www.twitch.tv/lvndmark,15833025,3060,9725,5174,,126,1321821,253,0,0,True,False,False,English,0,Partner,14130300,2985,7568,4733,381,0,,22584174,lvndmark,False,,,,
Bonjwa,https://www.twitch.tv/bonjwa,15704790,2760,10955,5690,,127,247720,315,0,0,True,False,False,German,0,Partner,14961165,2895,10320,5167,125,0,,199452,bonjwa,False,,,,
GronkhTV,https://www.twitch.tv/gronkhtv,15644160,10080,6365,1552,,128,610159,586,0,0,True,False,True,German,0,Partner,16183980,10080,7463,1605,338,0,,2516231,gronkhtv,False,,,,
Etoiles,https://www.twitch.tv/etoiles,15636060,1755,42839,8909,,129,1193406,2889,0,0,True,False,False,French,0,Partner,2988060,375,15728,7968,112,0,,1271980,etoiles,False,,,,
shanks_ttv,https://www.twitch.tv/shanks_ttv,15534555,3465,10345,4483,,130,584234,1176,0,0,True,False,True,English,0,Partner,10423935,3270,7738,3187,1249,0,,29692827,shanks_ttv,False,,,,
otplol_,https://www.twitch.tv/otplol_,15448440,10080,36957,1532,,131,780014,29,0,0,True,False,False,French,0,Partner,64249260,10080,69694,6373,2368,0,,35478616,otplol_,False,,,,
juansguarnizo,https://www.twitch.tv/juansguarnizo,15425295,2160,15203,7141,,132,11507707,658,0,0,True,False,False,Spanish,0,Partner,8938695,1335,13945,6695,2116,0,,8543782,juansguarnizo,False,,,,
VALORANT_jpn,https://www.twitch.tv/valorant_jpn,15400650,2760,14257,5579,,133,592424,1223,0,0,True,False,False,Japanese,0,Partner,5689095,1320,8978,4309,487,0,,30055624,valorant_jpn,False,,,,
MissMikkaa,https://www.twitch.tv/missmikkaa,15384195,3600,6033,4273,,134,458250,1844,0,0,True,False,False,English,0,Partner,15471210,3045,9923,5080,1264,0,,102835,missmikkaa,False,,,,
b0rja,https://www.twitch.tv/b0rja,15355680,10080,8199,1523,,135,130749,4316,0,0,True,False,False,Spanish,0,Partner,10899540,10080,5219,1081,3109,0,,13111283,b0rja,False,,,,
cs2_maincast,https://www.twitch.tv/cs2_maincast,15327795,3270,15376,4687,,136,221647,4149,0,0,True,False,False,Ukrainian,0,Partner,11792475,2760,15304,4272,1130,0,,48188906,cs2_maincast,False,,,,
KRL_STREAM,https://www.twitch.tv/krl_stream,15235185,3705,12067,4112,,137,94286,1865,0,0,True,False,True,French,0,Partner,10417155,3585,14202,2905,1865,0,,9603875,krl_stream,False,,,,
kussia88,https://www.twitch.tv/kussia88,15224580,2745,8788,5546,,138,1243020,5688,0,0,False,False,True,Russian,0,Community,3089715,585,7285,5281,1318,0,,59540277,kussia88,False,,,,
Anyme023,https://www.twitch.tv/anyme023,15176970,1500,19618,10117,,139,349259,30675,0,0,True,False,False,French,0,Partner,14223225,1905,12474,7466,19304,0,,69810692,anyme023,False,,,,
xTheSolutionTV,https://www.twitch.tv/xthesolutiontv,14976750,3945,5394,3796,,140,753507,299,0,0,True,False,False,German,0,Partner,13710195,4335,6039,3162,436,0,,439227,xthesolutiontv,False,,,,
knekro,https://www.twitch.tv/knekro,14965365,2355,14314,6354,,141,1220405,179,0,0,True,False,False,Spanish,0,Partner,8025030,1395,8694,5752,127,0,,11581099,knekro,False,,,,
ExtraEmily,https://www.twitch.tv/extraemily,14858715,1515,15692,9807,,142,467013,775,0,0,True,False,False,English,0,Partner,8690280,885,19671,9819,239,0,,28850825,extraemily,False,,,,
capr1isun,https://www.twitch.tv/capr1isun,14792925,990,30243,14942,,143,183066,78778,0,0,False,False,False,English,0,Community,4980450,450,16411,11067,58015,0,,73066569,capr1isun,False,,,,
VALORANT_EMEA,https://www.twitch.tv/valorant_emea,14786490,1170,22232,12638,,144,664408,4464,0,0,True,False,False,English,0,Partner,5347530,1830,6832,2922,845,0,,33213385,valorant_emea,False,,,,
JesusAVGN,https://www.twitch.tv/jesusavgn,14572665,1530,13225,9524,,145,1830582,62,0,0,True,False,False,Russian,0,Partner,17442435,1845,19696,9453,854,0,,10799,jesusavgn,False,,,,
